Company,Rating(5),Review_count,Domain,Location,No. of Employees,Years old
Ncr Eduservices,3.7,64,Private,"Noida,Uttar Pradesh + 6 more",201-500 Employees (India),10
Medicover Fertil...,4.1,64,Private,"Stockholm,Stockholm + 9 more",51-200 Employees (India),27
Darwinbox,3.4,64,Private,"Hyderabad,Telangana + 5 more",501-1k Employees (India),7
Smart Call Cente...,3.2,64,Private,Kolkata + 3 more,11-50 Employees (India),7
Birla Open Minds...,3.5,64,Private,"Mumbai,Maharashtra + 13 more",1 Lakh+ Employees (India),12
GSS Infotech,3.5,64,Public,"Hyderabad/Secunderabad,Telangana + 4 more",51-200 Employees (India),23
Redco Internatio...,4.0,63,unknown,Doha + 2 more,5k-10k Employees (Global),40
Flint Group,3.6,63,Private,"Luxembourg,Luxembourg + 7 more",51-200 Employees (India),17
Mangalam Drugs &...,4.2,63,unknown,Mumbai + 4 more,1k-5k Employees (India),45
Milestone Gears,4.1,63,unknown,Panchkula + 2 more,501-1k Employees (India),38
Krishna Beads In...,3.2,63,unknown,Mumbai + 4 more,51-200 Employees (India),42
Al Adrak Trading...,4.0,63,unknown,Muscat + 11 more,1k-5k Employees (India),32
Sri Sri Ravishan...,4.2,63,NGO/NPO,"Bangalore/Bengaluru,Karnataka + 13 more",201-500 Employees (India),23
Paranjape Autoca...,3.8,63,unknown,Pune + 1 more,501-1k Employees (India),49
Driplex Water En...,4.0,63,unknown,New Delhi + 11 more,201-500 Employees (India),48
S.R.Batliboi & C...,3.0,63,Private,London + 7 more,201-500 Employees (Global),33
Mk Enterprises,4.1,63,Private,New Delhi + 24 more,10k-50k Employees (India),41
Highbar Technocr...,3.6,63,Private,"Mumbai,Maharashtra + 2 more",201-500 Employees (India),12
Alphamed Formula...,4.4,63,Private,Hyderabad/Secunderabad + 2 more,201-500 Employees (India),16
Spinks Softech,4.0,63,Private,Gurgaon + 3 more,unknown,34
Superon Schweiss...,4.2,63,Public,Gurgaon + 2 more,51-200 Employees (India),28
M G Contractors,4.2,63,Private,Delhi + 15 more,201-500 Employees (India),unknown
Being human,4.2,63,Private,Mumbai + 19 more,51-200 Employees (India),15
OneMain Financia...,3.3,63,Private,Baltimore + 29 more,10k-50k Employees (Global),68
Aptronix - Apple...,3.6,63,Public,Hyderabad + 11 more,201-500 Employees (India),11
Experion Develop...,4.4,63,Private,"Gurgaon,Haryana",51-200 Employees (India),16
ANSR Source,3.5,63,Private,"Dallas,Texas",201-500 Employees (India),19
Meditab Software,2.8,63,Private,"Ahmedabad,Gujarat + 1 more",1k-5k Employees (India),17
Nagravision,3.4,63,Private,Cheseaux-sur-Lausanne + 2 more,201-500 Employees (India),15
Gj Solutions,3.6,63,Private,Hyderabad + 2 more,201-500 Employees (Global),12
Government Of Ta...,4.0,63,Private,Chennai + 20 more,1 Lakh+ Employees (India),72
iServices,3.3,63,Private,"Bangalore,Karnataka + 4 more",11-50 Employees (India),11
Ashpra Skills,3.7,63,Private,"Noida,Uttar Pradesh + 13 more",51-200 Employees (Global),8
Tattva Spa,4.2,63,Private,"Gurgaon,Haryana + 17 more",1k-5k Employees (India),11
Feedback Power O...,4.0,63,Private,Hyderabad + 9 more,51-200 Employees (India),11
Garments India,4.6,63,Private,Jaipur + 21 more,501-1k Employees (Global),44
Astec LifeScienc...,3.8,63,Public,"Mumbai,Maharashtra + 2 more",201-500 Employees (India),28
Replicon,4.0,63,Private,"Redwood City,California + 1 more",201-500 Employees (India),26
Jaya Shree Texti...,3.9,63,unknown,Hooghly + 3 more,51-200 Employees (India),73
K.R.Pulp & Paper...,3.7,63,Public,Shahjahanpur + 3 more,201-500 Employees (India),27
Suzlon Infrastru...,3.8,63,Public,Pune + 12 more,5k-10k Employees (Global),27
SKDRDP,4.2,63,unknown,Daramasthala + 17 more,unknown,31
The Beer Cafe,3.8,63,Private,"Gurgaon,Haryana + 9 more",201-500 Employees (India),10
Bansal Classes,3.6,63,unknown,Kota + 23 more,201-500 Employees (India),38
Pathways World S...,4.6,63,Private,"Gurgaon/Gurugram,Haryana + 4 more",201-500 Employees (Global),19
Champ Info Softw...,3.5,63,unknown,Noida + 3 more,51-200 Employees (India),11
Smart Brains Eng...,3.9,63,Private,Noida + 14 more,51-200 Employees (India),24
Kyocera Ctc Prec...,2.9,63,Private,Gurgaon + 6 more,51-200 Employees (India),10
Ntf,3.6,63,unknown,Gurgaon + 5 more,201-500 Employees (India),38
R K Construction,4.0,63,unknown,Jamshedpur + 24 more,51-200 Employees (India),unknown
Epicu Agro Produ...,3.8,63,Private,Delhi + 12 more,201-500 Employees (India),unknown
RACL Geartech,4.0,63,Public,Noida + 3 more,201-500 Employees (India),33
Dcmodel Sr. Sec....,4.8,63,unknown,"Panchkula,Haryana + 4 more",unknown,42
Nandan Petrochem,3.4,63,Public,"Mumbai,Maharashtra + 11 more",201-500 Employees (India),30
Digitas,4.1,63,Public,"Mumbai,Maharashtra + 7 more",201-500 Employees (India),16
Jawad Business G...,3.8,63,unknown,Manama + 10 more,5k-10k Employees (India),62
Maruti Service M...,3.9,63,Public,New Delhi + 10 more,201-500 Employees (India),23
Al Ayuni Investm...,4.3,63,Private,Riyadh + 3 more,1k-5k Employees (India),62
DigiCaptions Ind...,3.5,63,Private,Pune,501-1k Employees (Global),107
The World Bank,4.6,63,Private,"Washington,Washington D.C. + 8 more",1k-5k Employees (India),78
Ashida Electroni...,3.4,63,Private,Thane + 5 more,201-500 Employees (India),52
A.M. MOTORS,4.2,63,Private,Noida + 7 more,501-1k Employees (India),22
HiRePro Consulti...,4.2,63,Private,Bengaluru + 8 more,11-50 Employees (India),19
Indian Register ...,3.8,63,Private,"Mumbai,Maharashtra + 11 more",501-1k Employees (India),47
International SO...,3.0,63,Private,Singapore + 10 more,201-500 Employees (India),22
Unitech Machines,4.0,63,Private,Gurgaon + 9 more,1k-5k Employees (India),36
Man Infraconstru...,4.8,63,Public,Mumbai + 2 more,201-500 Employees (India),58
The Digital Grou...,3.7,63,Private,"Princeton,New Jersey",201-500 Employees (India),23
Indian Red Cross...,4.4,63,Private,New Delhi + 30 more,201-500 Employees (India),102
Silver Spark App...,3.9,63,Private,Mumbai + 5 more,11-50 Employees (Global),unknown
Bansal Wire Indu...,3.6,63,Private,New Delhi + 2 more,201-500 Employees (India),84
Spectro Analytic...,3.4,63,Private,New Delhi + 5 more,201-500 Employees (India),27
Kyocera Document...,3.4,63,Private,Osaka + 15 more,201-500 Employees (India),88
Aryan Imaging & ...,3.7,63,Private,"Pune,Maharashtra + 14 more",201-500 Employees (India),19
Sharda Hospital,3.3,63,Private,Noida + 3 more,201-500 Employees (India),16
China Steel Corp...,4.3,63,unknown,Kaohsiung + 3 more,51-200 Employees (India),51
Design cafe,3.4,63,Private,"Bangalore,Karnataka + 4 more",501-1k Employees (India),7
Sahu Exports,4.1,63,Private,Noida + 2 more,51-200 Employees (India),43
Grecian Super Sp...,2.5,63,Private,Mohali + 1 more,11-50 Employees (India),16
Cogenthub,2.8,63,Private,"Kolkata,West Bengal + 1 more",51-200 Employees (India),6
Srg Housing Fina...,3.7,63,Public,"Udaipur,Rajasthan + 16 more",201-500 Employees (India),23
Telecomone Teles...,3.9,63,Private,Bengaluru + 15 more,501-1k Employees (Global),16
Omega Hospitals,4.5,63,unknown,Hyderabad + 7 more,201-500 Employees (India),12
Verity,2.6,63,Private,"Hyderabad/Secunderabad,Telangana",201-500 Employees (India),13
The Energy and R...,3.7,63,Private,New Delhi + 7 more,1k-5k Employees (India),48
Ducat,4.1,63,Private,"Noida,Uttar Pradesh + 2 more",51-200 Employees (India),23
Paracoat Product...,3.5,63,unknown,Gurgaon + 4 more,201-500 Employees (India),48
Dr. Amin Control...,3.7,63,unknown,Mumbai + 14 more,51-200 Employees (India),47
Capricot Technol...,4.0,63,Private,"Delhi/NCR,New Delhi + 5 more",51-200 Employees (India),9
Icreon Communica...,3.9,63,Private,"New York,New York + 1 more",51-200 Employees (India),22
AARGEE STAFFING ...,3.9,63,Private,Chennai + 12 more,1k-5k Employees (Global),20
BugRaptors,4.9,63,Private,"Emeryville,California + 1 more",51-200 Employees (India),6
Brindavan Agro I...,4.1,63,Private,Agra + 6 more,501-1k Employees (India),unknown
Rockland Hospita...,3.2,63,Private,New Delhi + 3 more,501-1k Employees (Global),18
Dexcel Electroni...,4.3,63,Private,"Chennai,Tamil Nadu",51-200 Employees (India),10
Cloudtail India,4.1,63,Private,"Bengaluru,Karnataka + 3 more",501-1k Employees (India),8
Fresh & Honest C...,3.8,63,unknown,Chennai + 9 more,201-500 Employees (India),25
Rotary Engineeri...,4.5,63,unknown,Singapore + 5 more,5k-10k Employees (Global),50
BetterPlace Safe...,4.0,63,Private,"Gronau,North Rhine-westphalia + 9 more",201-500 Employees (India),7
OptimHire,3.9,63,unknown,"Union City,California + 1 more",51-200 Employees (India),4
AO SMITH INDIA W...,3.9,63,Private,"Milwaukee,Wisconsin + 14 more",1k-5k Employees (India),16
Siemens Industry...,4.3,63,Private,Plano + 5 more,10k-50k Employees (India),24
Gartner,4.4,63,Public,"Stamford,Connecticut + 6 more",1k-5k Employees (India),43
Destek Infosolut...,4.4,63,Private,"Pune,Maharashtra",51-200 Employees (India),6
Birla Cellulose,3.8,63,unknown,Surat + 8 more,201-500 Employees (India),unknown
Belstar Microfin...,4.3,63,unknown,Chennai + 34 more,1k-5k Employees (India),unknown
Mentorsity,4.5,63,Private,"New Delhi,Delhi + 7 more",11-50 Employees (India),2
Flipkart Wholesa...,3.9,63,unknown,Bengaluru/Bangalore + 23 more,11-50 Employees (India),unknown
sifars,4.8,63,Private,"Patiala,Punjab",11-50 Employees (India),5
Achievers Spot,4.8,63,Private,"Chennai,Tamil Nadu + 3 more",201-500 Employees (India),12
Sterling Softwar...,4.2,63,Private,"Chennai,Tamil Nadu + 1 more",1-10 Employees (India),26
VIBGYOR Group of...,3.8,63,unknown,"Mumbai,Maharashtra + 10 more",1k-5k Employees (India),18
Walking Tree,3.5,63,Private,Hyderabad + 6 more,201-500 Employees (India),14
Infoplus Technol...,3.7,63,Private,Borehamwood + 2 more,201-500 Employees (India),22
VBeyond Corporat...,4.3,63,Private,Hillsborough + 1 more,201-500 Employees (India),16
Crown Solutions,2.8,63,unknown,Chennai + 5 more,201-500 Employees (India),20
FANUC,4.0,63,Private,Oshino + 9 more,201-500 Employees (India),66
SMARTe,3.7,63,Private,"Delhi,NCT + 7 more",201-500 Employees (India),8
Extentia Informa...,4.2,63,Private,"Pune,Maharashtra",501-1k Employees (India),24
Brickwork India,4.1,63,Private,"Bangalore/Bengaluru,Karnataka + 1 more",201-500 Employees (India),17
Crown Solutions,2.8,63,unknown,Chennai + 5 more,201-500 Employees (India),20
FANUC,4.0,63,Private,Oshino + 9 more,201-500 Employees (India),66
Rockwell Industr...,3.9,407,unknown,Hyderabad + 3 more,201-500 Employees (India),36
MAP Systems,3.3,62,Private,"Bangalore/Bengaluru,Karnataka + 1 more",51-200 Employees (India),29
Tilaknagar Indus...,4.1,62,Public,"Mumbai,Maharashtra + 7 more",1k-5k Employees (India),89
Sportking,3.6,62,Public,"Ludhiana,Punjab + 6 more",1k-5k Employees (India),33
Ican BPO,4.0,62,Private,Thane + 2 more,201-500 Employees (India),13
Winjit Technolog...,3.6,62,Private,"Nashik,Maharashtra + 1 more",201-500 Employees (India),18
Faze Three,3.6,62,Public,"Mumbai,Maharashtra + 7 more",201-500 Employees (India),40
Suryalakshmi Cot...,3.8,62,Public,"Hyderabad/Secunderabad,Telangana + 6 more",501-1k Employees (India),60
Ingenero Technol...,4.3,62,Private,"Houston,Texas + 1 more",201-500 Employees (India),20
Hindustan Steelw...,3.8,62,Private,Kolkata + 11 more,501-1k Employees (India),58
Trinity Touch,4.0,62,Private,New Delhi + 5 more,51-200 Employees (India),24
Edgetech Air Sys...,3.2,62,unknown,New Delhi + 6 more,51-200 Employees (India),17
PETROJET,3.7,62,Private,Cairo + 10 more,10k-50k Employees (Global),47
Ascent Hr,3.9,62,unknown,Bengaluru + 2 more,501-1k Employees (Global),20
Insta Exhibition,3.3,62,Private,Mumbai + 5 more,201-500 Employees (India),19
Rotana Hotels,4.4,62,unknown,Abu Dhabi + 9 more,10k-50k Employees (Global),30
Dewar's Garage,3.3,62,unknown,Kolkata,201-500 Employees (India),27
ITM,3.1,62,Private,"Munich,Bavaria + 22 more",5k-10k Employees (India),31
Isagro (Asia) Ag...,3.7,62,Private,"Milan,Milan + 15 more",201-500 Employees (India),29
SSP India,4.0,62,Private,Halifax + 7 more,51-200 Employees (India),20
Jindal ITF,4.2,62,Public,New Delhi + 11 more,51-200 Employees (India),15
Aster (India),3.4,62,Private,New Delhi + 11 more,51-200 Employees (India),32
Royal HaskoningD...,4.4,62,Private,Amersfoort + 16 more,201-500 Employees (India),141
Tata Tinplate,3.3,62,Private,Kolkata + 4 more,1k-5k Employees (Global),102
GreenPoint Globa...,3.0,62,Private,Rye + 1 more,201-500 Employees (India),21
Engineering Proj...,4.0,62,Private,New Delhi + 14 more,1k-5k Employees (India),52
Agiliad Technolo...,4.0,62,Private,Pune,201-500 Employees (India),11
Govt of Karnatak...,4.3,62,Public,Bengaluru + 16 more,1 Lakh+ Employees (Global),66
West Coast Pharm...,3.2,62,Private,Ahmedabad + 2 more,51-200 Employees (India),57
Irvine Infocom,3.3,62,Private,"New Delhi,Delhi + 2 more",201-500 Employees (Global),6
Qbss,3.8,62,unknown,unknown,1k-5k Employees (India),unknown
Father Muller Me...,4.4,62,unknown,Mangaluru + 1 more,1k-5k Employees (India),142
U N Mehta Instit...,4.1,62,unknown,Ahmedabad,51-200 Employees (India),40
SAIL Bokaro Stee...,4.5,62,Public,Bokaro Steel City + 4 more,10k-50k Employees (India),58
Prabha Engineeri...,3.6,62,Private,Mumbai + 6 more,51-200 Employees (India),64
First Step Babyw...,4.5,62,unknown,Hosur + 4 more,201-500 Employees (India),20
Fertilisers and ...,4.2,62,unknown,Kochi + 2 more,501-1k Employees (India),79
Transworld Group...,3.5,62,unknown,Dubai + 12 more,201-500 Employees (India),45
Bal Bharati Publ...,4.0,62,unknown,Noida + 13 more,unknown,30
Supreme Group,3.2,62,Private,Dubai + 17 more,1 Lakh+ Employees (India),65
Saveetha Univers...,4.3,62,Private,Chennai + 9 more,201-500 Employees (India),34
JP Group,4.0,62,Private,Hosur + 16 more,51-200 Employees (India),12
Gennova Biopharm...,4.5,62,Private,"Pune,Maharashtra + 2 more",201-500 Employees (India),16
Hindustan Steelw...,3.8,62,Private,Kolkata + 11 more,501-1k Employees (India),58
Trinity Touch,4.0,62,Private,New Delhi + 5 more,51-200 Employees (India),24
Just Buy Live En...,4.0,62,unknown,"Mumbai,Maharashtra + 8 more",51-200 Employees (India),7
ALEC,4.2,62,Private,Dubai + 7 more,10k-50k Employees (India),23
Dd Motors,3.6,62,Private,New Delhi + 3 more,1k-5k Employees (Global),26
Weather Risk Man...,3.9,62,Private,"Gurgaon/Gurugram,Haryana + 9 more",201-500 Employees (India),18
Jindal ITF,4.2,62,Public,New Delhi + 11 more,51-200 Employees (India),15
Fabtech Technolo...,3.9,62,Private,Mumbai + 3 more,201-500 Employees (India),23
GreenPoint Globa...,3.0,62,Private,Rye + 1 more,201-500 Employees (India),21
MAP Systems,3.3,62,Private,"Bangalore/Bengaluru,Karnataka + 1 more",51-200 Employees (India),29
Tilaknagar Indus...,4.1,62,Public,"Mumbai,Maharashtra + 7 more",1k-5k Employees (India),89
Winjit Technolog...,3.6,62,Private,"Nashik,Maharashtra + 1 more",201-500 Employees (India),18
Avasa Hotels,4.3,62,Private,Hydrabad + 1 more,51-200 Employees (India),10
Aditya Hospital,4.2,62,Private,Hyderabad + 7 more,51-200 Employees (India),24
Royal HaskoningD...,4.4,62,Private,Amersfoort + 16 more,201-500 Employees (India),141
Krishna Institut...,3.8,62,Private,"Karad,Maharashtra + 7 more",501-1k Employees (India),22
Featherlite,3.1,62,Private,"Bangalore/Bengaluru,Karnataka + 6 more",1k-5k Employees (India),57
BASE Educational...,4.1,62,Private,"Bangalore/Bengaluru,Karnataka + 3 more",201-500 Employees (India),31
Mcnally Sayaji E...,3.6,62,Public,Kolkata + 5 more,201-500 Employees (India),61
Saveetha Univers...,4.3,62,Private,Chennai + 9 more,201-500 Employees (India),34
JP Group,4.0,62,Private,Hosur + 16 more,51-200 Employees (India),12
Supreme Group,3.2,62,Private,Dubai + 17 more,1 Lakh+ Employees (India),65
Ramkrishna Care ...,4.4,62,unknown,Raipur + 6 more,501-1k Employees (India),30
Dd Motors,3.6,62,Private,New Delhi + 3 more,1k-5k Employees (Global),26
Fertilisers and ...,4.2,62,unknown,Kochi + 2 more,501-1k Employees (India),79
Transworld Group...,3.5,62,unknown,Dubai + 12 more,201-500 Employees (India),45
Gandhi Institute...,4.9,62,unknown,Bhubaneswar + 1 more,51-200 Employees (India),unknown
Asmitha Microfin...,4.7,62,Public,Hyderabad + 27 more,51-200 Employees (India),20
Stemrobo Technol...,4.7,62,Private,Noida + 1 more,201-500 Employees (Global),6
Prayag Polymers,4.0,62,Private,"Delhi/NCR,Delhi + 11 more",201-500 Employees (India),36
Weather Risk Man...,3.9,62,Private,"Gurgaon/Gurugram,Haryana + 9 more",201-500 Employees (India),18
North West Carry...,4.2,62,Private,"Gurgaon/Gurugram,Haryana + 16 more",10k-50k Employees (India),24
Rustomjee Group,4.1,62,Private,"Mumbai,Maharashtra + 4 more",501-1k Employees (India),26
ALEC,4.2,62,Private,Dubai + 7 more,10k-50k Employees (India),23
Golcha Associate...,4.2,62,Private,"Jaipur,Rajasthan + 8 more",1k-5k Employees (India),67
Komal Tex Fab,3.0,62,Private,Ahmedabad + 2 more,51-200 Employees (India),41
Gala Precision E...,3.2,62,Private,Thane + 1 more,201-500 Employees (India),27
K & J Project,3.3,62,Private,Nagpur + 15 more,51-200 Employees (India),18
Clean Science An...,3.7,62,Private,Pune + 2 more,501-1k Employees (India),16
Seco Komos Autom...,3.9,62,Private,Hwaseong-si + 3 more,201-500 Employees (Global),55
Father Muller Me...,4.4,62,unknown,Mangaluru + 1 more,1k-5k Employees (India),142
Ace Pipeline Con...,4.2,62,unknown,Mumbai + 11 more,51-200 Employees (India),33
Bal Bharati Publ...,4.0,62,unknown,Noida + 13 more,unknown,30
Emmbi Industries,3.7,62,Public,"Mumbai,Maharashtra + 4 more",201-500 Employees (India),28
Pena4 Tech Solut...,3.8,62,Private,"Center Valley,Pennsylvania",201-500 Employees (India),18
Bhima Jewellers,4.2,62,Private,"Trivandrum/Thiruvananthapuram,Kerala + 18 more",501-1k Employees (India),97
Prabha Engineeri...,3.6,62,Private,Mumbai + 6 more,51-200 Employees (India),64
Shemford Futuris...,4.2,62,Private,New Delhi + 27 more,51-200 Employees (India),13
SquadStack,4.2,62,unknown,Delhi + 7 more,11-50 Employees (India),8
Artefact Project...,2.2,62,Public,"Nagpur,Maharashtra + 6 more",51-200 Employees (India),35
Medfin India,4.2,62,unknown,"Bangalore,Karnataka + 3 more",51-200 Employees (India),6
First Step Babyw...,4.5,62,unknown,Hosur + 4 more,201-500 Employees (India),20
Layam Flexi Solu...,3.8,62,Private,Chennai + 11 more,1k-5k Employees (Global),15
U N Mehta Instit...,4.1,62,unknown,Ahmedabad,51-200 Employees (India),40
SAIL Bokaro Stee...,4.5,62,Public,Bokaro Steel City + 4 more,10k-50k Employees (India),58
West Coast Pharm...,3.2,62,Private,Ahmedabad + 2 more,51-200 Employees (India),57
Qbss,3.8,62,unknown,unknown,1k-5k Employees (India),unknown
Irvine Infocom,3.3,62,Private,"New Delhi,Delhi + 2 more",201-500 Employees (Global),6
IPAC,3.6,62,Private,Fremont + 9 more,1k-5k Employees (India),unknown
SHOP CJ Network,3.3,62,Private,Mumbai + 8 more,501-1k Employees (India),14
Utthunga Technol...,4.2,62,Private,"Bangalore/Bengaluru,Karnataka",501-1k Employees (India),15
Bharat Hotels,3.9,62,unknown,"Delhi/NCR,New Delhi + 9 more",51-200 Employees (India),41
Gennova Biopharm...,4.5,62,Private,"Pune,Maharashtra + 2 more",201-500 Employees (India),16
Seshasayee Paper...,4.2,62,Private,"Chennai,Tamil Nadu + 4 more",1k-5k Employees (India),62
Alacrity Ecommer...,3.4,62,Private,"Nagpur,Maharashtra",201-500 Employees (India),12
Aditya Hospital,4.2,62,Private,Hyderabad + 7 more,51-200 Employees (India),24
Avasa Hotels,4.3,62,Private,Hydrabad + 1 more,51-200 Employees (India),10
Radius Global So...,3.0,62,unknown,Minneapolis + 1 more,501-1k Employees (India),9
Salasar Techno E...,3.8,62,Public,New Delhi + 9 more,51-200 Employees (India),16
Azadea Group,4.2,62,unknown,Beirut + 9 more,10k-50k Employees (Global),44
Just Buy Live En...,4.0,62,unknown,"Mumbai,Maharashtra + 8 more",51-200 Employees (India),7
Nexdigm,3.7,62,Private,"Mumbai,Maharashtra + 2 more",501-1k Employees (India),24
